# a_fm        a             ml_val        ml_sea        mh_val        mh_sea        E             
1.200000e-01  3.651513e-01  2.738591e-02  2.738591e-02  1.369296e-01  1.369296e-01  1.357181e+00  
1.200000e-01  3.651513e-01  2.738591e-02  2.738591e-02  1.369296e-01  1.369296e-01  1.606906e+00  
1.200000e-01  3.651513e-01  2.738591e-02  2.738591e-02  1.369296e-01  1.369296e-01  1.822733e+00  
1.200000e-01  3.651513e-01  1.917014e-02  1.917014e-02  1.369296e-01  1.369296e-01  1.334790e+00  
1.200000e-01  3.651513e-01  1.917014e-02  1.917014e-02  1.369296e-01  1.369296e-01  1.588041e+00  
1.200000e-01  3.651513e-01  1.917014e-02  1.917014e-02  1.369296e-01  1.369296e-01  1.806124e+00  
1.200000e-01  3.651513e-01  1.369295e-02  1.369295e-02  1.369296e-01  1.369296e-01  1.231030e+00  
1.200000e-01  3.651513e-01  1.369295e-02  1.369295e-02  1.369296e-01  1.369296e-01  1.424594e+00  
1.200000e-01  3.651513e-01  1.369295e-02  1.369295e-02  1.369296e-01  1.369296e-01  1.594836e+00  
9.000000e-02  2.639405e-01  2.349014e-02  2.349014e-02  1.174507e-01  1.174507e-01  1.280866e+00  
9.000000e-02  2.639405e-01  2.349014e-02  2.349014e-02  1.174507e-01  1.174507e-01  1.537348e+00  
9.000000e-02  2.639405e-01  2.349014e-02  2.349014e-02  1.174507e-01  1.174507e-01  1.756776e+00  
9.000000e-02  2.651371e-01  1.753809e-02  1.753809e-02  1.169206e-01  1.169206e-01  1.191798e+00  
9.000000e-02  2.651371e-01  1.753809e-02  1.753809e-02  1.169206e-01  1.169206e-01  1.403143e+00  
9.000000e-02  2.651371e-01  1.753809e-02  1.753809e-02  1.169206e-01  1.169206e-01  1.586580e+00  
9.000000e-02  2.663405e-01  1.163924e-02  1.163924e-02  1.163924e-01  1.163924e-01  1.082960e+00  
9.000000e-02  2.663405e-01  1.163924e-02  1.163924e-02  1.163924e-01  1.163924e-01  1.233138e+00  
9.000000e-02  2.663405e-01  1.163924e-02  1.163924e-02  1.163924e-01  1.163924e-01  1.366916e+00  
9.000000e-02  2.675504e-01  5.793300e-03  5.793300e-03  1.158660e-01  1.158660e-01  9.577147e-01  
9.000000e-02  2.675504e-01  5.793300e-03  5.793300e-03  1.158660e-01  1.158660e-01  1.025603e+00  
9.000000e-02  2.675504e-01  5.793300e-03  5.793300e-03  1.158660e-01  1.158660e-01  1.089269e+00  
6.000000e-02  1.868089e-01  1.927103e-02  1.927103e-02  9.635513e-02  9.635513e-02  1.120678e+00  
6.000000e-02  1.868089e-01  1.927103e-02  1.927103e-02  9.635513e-02  9.635513e-02  1.321711e+00  
6.000000e-02  1.868089e-01  1.927103e-02  1.927103e-02  9.635513e-02  9.635513e-02  1.495968e+00  
6.000000e-02  1.884183e-01  9.553212e-03  9.553212e-03  9.553212e-02  9.553212e-02  9.818608e-01  
6.000000e-02  1.884183e-01  9.553212e-03  9.553212e-03  9.553212e-02  9.553212e-02  1.111549e+00  
6.000000e-02  1.884183e-01  9.553212e-03  9.553212e-03  9.553212e-02  9.553212e-02  1.227612e+00  
4.500000e-02  1.387302e-01  2.018306e-02  2.018306e-02  1.009153e-01  1.009153e-01  1.109329e+00  
4.500000e-02  1.387302e-01  2.018306e-02  2.018306e-02  1.009153e-01  1.009153e-01  1.315828e+00  
4.500000e-02  1.387302e-01  2.018306e-02  2.018306e-02  1.009153e-01  1.009153e-01  1.494053e+00  
